location,date,ave_temperature,max_temperature
708,2013-09-03,21.1,25.2
708,2013-09-04,22.1,28.7
708,2013-09-05,20.4,25.9
708,2013-09-06,18.7,21.1
708,2013-09-07,21.1,27.3
708,2013-09-08,21.8,29.2
708,2013-09-09,21.8,29.8
708,2013-09-10,23.1,28.3
708,2013-09-11,22.9,28.3
708,2013-09-12,21.8,24.7
708,2013-09-13,25.2,31
708,2013-09-14,23,26.2
708,2013-09-15,24.1,29.6
708,2013-09-16,21.3,28.2
708,2013-09-17,21.2,29.7
708,2013-09-18,23.4,32.7
708,2013-09-19,22.8,30.5
708,2013-09-20,22.6,29.9
708,2013-09-21,23.2,31.1
708,2013-09-22,24.1,31.9
708,2013-09-23,23.7,30.5
708,2013-09-24,22.5,27.8
708,2013-09-25,19.4,25
708,2013-09-26,18.2,24.7
708,2013-09-27,17.5,26.3
708,2013-09-28,20,25.4
708,2013-09-29,21.6,24.1
708,2013-09-30,22.3,29.1
708,2013-10-01,21.8,29.8
708,2013-10-02,19.3,26.5
708,2013-10-03,16.9,24.8
708,2013-10-04,16.5,26.9
708,2013-10-05,18.4,27.4
708,2013-10-06,22,26.9
708,2013-10-07,23.8,29.9
708,2013-10-08,21.5,25.1
708,2013-10-09,20.9,25.7
708,2013-10-10,20.6,22.8
708,2013-10-11,18.2,24.4
708,2013-10-12,15.4,24.2
708,2013-10-13,15.7,27.4
708,2013-10-14,17.7,26.7
708,2013-10-15,16.6,20.4
708,2013-10-16,12,18.6
708,2013-10-17,11.7,19.5
708,2013-10-18,14,23.1
708,2013-10-19,14.9,23.1
708,2013-10-20,15.4,23.9
708,2013-10-21,14.3,22.9
708,2013-10-22,15.3,24
708,2013-10-23,16.6,24.9
708,2013-10-24,14.7,22.1
708,2013-10-25,11.8,17.2
708,2013-10-26,11.2,16.9
708,2013-10-27,9.7,19.9
708,2013-10-28,9.2,18.5
708,2013-10-29,11.8,22.2
708,2013-10-30,12.5,18.9
708,2013-10-31,13.1,21.3
708,2013-11-01,15.3,23.7
708,2013-11-02,16.1,20.4
708,2013-11-03,14.2,21
708,2013-11-04,11.9,19.1
708,2013-11-05,10.7,20.7
708,2013-11-06,13.8,20.4
708,2013-11-07,11.4,20
708,2013-11-08,8.5,17.7
708,2013-11-09,12.6,16.6
708,2013-11-10,10.4,17.2
708,2013-11-11,7.6,11.3
708,2013-11-12,7,12.3
708,2013-11-13,5.3,13.6
708,2013-11-14,5.6,11.5
708,2013-11-15,9.1,16.1
708,2013-11-16,7.6,15.6
708,2013-11-17,7.9,13.1
708,2013-11-18,3.4,7.3
708,2013-11-19,5.7,10
708,2013-11-20,4.1,10.1
708,2013-11-21,4.7,12.3
708,2013-11-22,5.8,12.9
708,2013-11-23,5.7,13.8
708,2013-11-24,9.9,14.1
708,2013-11-25,8.2,12.7
708,2013-11-26,4.8,11
708,2013-11-27,2.8,5.8
708,2013-11-28,-.1,2.1
708,2013-11-29,1.9,6.8
708,2013-11-30,2.2,8.5
708,2013-12-01,3.4,11.7
708,2013-12-02,3,11.2
708,2013-12-03,4.6,11.9
708,2013-12-04,4.7,12.5
708,2013-12-05,3,8.1
708,2013-12-06,5.6,11
708,2013-12-07,2.5,11.6
708,2013-12-08,4.7,13.6
708,2013-12-09,6.5,12.2
708,2013-12-10,4.9,7.9
708,2013-12-11,3.2,6.2
708,2013-12-12,3.9,9
708,2013-12-13,.7,5
708,2013-12-14,1.4,8.8
708,2013-12-15,1.8,5.4
708,2013-12-16,1,4.6
708,2013-12-17,4,8.5
708,2013-12-18,5.8,12.3
708,2013-12-19,.9,4.6
708,2013-12-20,1.3,2.6
708,2013-12-21,-.2,4.2
708,2013-12-22,.3,6
708,2013-12-23,,7.3
708,2013-12-24,.5,8
708,2013-12-25,-.8,5.7
708,2013-12-26,1.1,6.6
708,2013-12-27,.2,3
708,2013-12-28,-1.5,3.3
708,2013-12-29,-2.1,3.2
708,2013-12-30,1.6,8.6
708,2013-12-31,3.2,10.7
722,2013-01-01,-.1,4.5
722,2013-01-02,-3.1,1.3
722,2013-01-03,-6.7,-3
722,2013-01-04,-6,-1
722,2013-01-05,-3.1,2.1
722,2013-01-06,-1,2.7
722,2013-01-07,-1.6,2.5
722,2013-01-08,-.3,4.2
722,2013-01-09,-3.4,-.4
722,2013-01-10,-3.8,-.4
722,2013-01-11,-1.5,4.4
722,2013-01-12,1.6,7.5
722,2013-01-13,-.2,4.3
722,2013-01-14,.4,6.1
722,2013-01-15,-.8,5.9
722,2013-01-16,0,3.2
722,2013-01-17,-2,.3
722,2013-01-18,-1.7,3.5
722,2013-01-19,1.5,5.5
722,2013-01-20,4.1,10.4
722,2013-01-21,7.5,9.2
722,2013-01-22,4,6.4
722,2013-01-23,2.6,3.8
722,2013-01-24,1.2,3.8
722,2013-01-25,-2.7,-.4
722,2013-01-26,-3.4,-.5
722,2013-01-27,-2.4,-1
722,2013-01-28,-.5,5
722,2013-01-29,3,9.9
722,2013-01-30,5.8,13
722,2013-01-31,9.4,13.8
722,2013-02-01,11.2,14.8
722,2013-02-02,2.8,6.6
722,2013-02-03,.9,5.9
722,2013-02-04,3.5,5.9
722,2013-02-05,2.1,4.1
722,2013-02-06,1.4,3.3
722,2013-02-07,-4.8,1.3
722,2013-02-08,-6.7,-2
722,2013-02-09,-3.5,1.5
722,2013-02-10,-1.2,4.1
722,2013-02-11,-1.2,4.2
722,2013-02-12,-1,1.7
722,2013-02-13,.8,5.9
722,2013-02-14,2.9,7.9
722,2013-02-15,2.1,6.3
722,2013-02-16,0,5.9
722,2013-02-17,2.4,6.4
722,2013-02-18,3.7,5.7
722,2013-02-19,0,4.4
722,2013-02-20,-.7,4.3
722,2013-02-21,.9,6.6
722,2013-02-22,2.3,8.2
722,2013-02-23,.8,5.2
722,2013-02-24,2.1,8.6
722,2013-02-25,5.5,13.2
722,2013-02-26,7.9,10.3
722,2013-02-27,8.5,14.9
722,2013-02-28,10.1,18.7
722,2013-03-01,4,13
722,2013-03-02,.4,5.6
722,2013-03-03,.9,6.9
722,2013-03-04,3.7,11.9
722,2013-03-05,4.2,13.4
722,2013-03-06,9,18.6
722,2013-03-07,11.1,15.9
722,2013-03-08,10,19.6
722,2013-03-09,15.5,26.9
722,2013-03-10,5.6,14.3
722,2013-03-11,6,15.4
722,2013-03-12,11.2,18.5
722,2013-03-13,6.3,15.5
722,2013-03-14,4.8,10.9
722,2013-03-15,6.2,14.2
722,2013-03-16,8.3,17
722,2013-03-17,9.4,16.3
722,2013-03-18,10.3,12.4
722,2013-03-19,12.9,19.3
722,2013-03-20,6.5,13.3
722,2013-03-21,3.1,10.7
722,2013-03-22,5.9,11.8
722,2013-03-23,8.2,16.1
722,2013-03-24,6.4,10.9
722,2013-03-25,3.4,7.4
722,2013-03-26,6.8,14.9
722,2013-03-27,10.3,17.8
722,2013-03-28,9.7,18.6
722,2013-03-29,7.7,13.9
722,2013-03-30,7.8,15.8
722,2013-03-31,9,15.1
722,2013-04-01,11.2,18.3
722,2013-04-02,7,11.3
722,2013-04-03,10.4,18.5
722,2013-04-04,14,23.2
722,2013-04-05,14.8,21
722,2013-04-06,8.4,14.6
722,2013-04-07,4,7.4
722,2013-04-08,7.5,15.6
722,2013-04-09,8.7,13.2
722,2013-04-10,5.1,9
722,2013-04-11,7.8,12.2
722,2013-04-12,6.6,12.3
